50 99
1 5 1
1 42 5
1 50 3
2 4 2
2 30 4
2 34 3
2 40 3
3 5 4
3 23 2
3 37 3
4 15 2
4 21 4
5 9 3
5 27 4
5 38 2
5 45 5
6 38 5
6 40 5
6 47 4
7 8 4
7 13 5
7 21 2
7 25 1
7 30 3
7 38 3
7 41 4
8 22 3
8 23 4
8 25 4
8 34 3
9 25 4
10 11 2
10 24 1
10 34 4
10 43 3
10 47 3
11 28 1
11 30 4
11 33 5
11 37 4
12 25 4
12 28 4
13 14 2
14 50 4
15 22 3
16 37 4
16 50 4
17 22 5
17 26 3
17 43 5
18 44 3
19 28 3
19 29 4
19 35 5
20 28 2
20 31 5
20 38 5
22 28 3
22 33 5
22 36 4
23 50 5
24 27 1
24 35 1
25 35 3
25 40 3
25 49 4
27 43 5
27 44 1
28 29 5
28 35 1
28 44 3
29 32 3
29 39 2
30 38 4
31 33 5
31 43 3
32 33 5
32 35 4
32 38 2
32 42 1
32 45 1
32 48 5
33 40 4
33 48 1
33 50 1
34 35 1
34 37 2
34 40 1
34 45 5
35 50 4
36 40 4
37 39 3
37 42 1
37 44 2
39 41 1
39 42 5
39 46 3
40 47 5
49 50 1
