6000 40839
1 156 32
1 374 22
1 604 100
1 793 12
1 1582 89
1 1846 25
1 1952 17
1 2014 3
1 3068 5
1 3737 45
1 3785 93
1 4217 8
1 4325 89
1 4608 88
1 5231 61
1 5479 38
2 1102 38
2 1776 84
2 1786 32
2 1891 95
2 3046 45
2 3632 57
2 3642 15
2 4448 86
2 4891 34
2 4977 94
2 5092 76
2 5717 49
2 5741 83
3 828 2
3 1899 6
3 1934 73
3 2047 72
3 2048 32
3 2051 11
3 2054 9
3 2948 30
3 4298 55
3 4526 57
3 4615 84
3 4926 13
4 365 74
4 1346 28
4 1532 14
4 2445 91
4 2646 87
4 4892 59
5 968 98
5 1345 46
5 2246 6
5 2305 88
5 2348 45
5 2699 57
5 2972 75
5 3570 50
5 3717 33
5 5706 82
6 67 7
6 166 38
6 245 88
6 1593 98
6 1738 15
6 1772 60
6 2370 93
6 3136 61
6 3479 72
6 4090 49
6 4217 15
6 4657 41
6 5974 29
6 5987 48
7 284 98
7 533 26
7 995 51
7 1355 37
7 1686 93
7 2134 39
7 3855 52
7 3878 1
7 4142 6
7 4254 8
7 4379 6
7 4481 80
7 4796 45
7 5606 81
7 5755 4
8 396 62
8 578 76
8 786 60
8 1637 85
8 1791 35
8 2419 44
8 2548 50
8 2678 39
8 3731 27
8 4309 100
8 4311 65
8 5253 20
8 5289 42
8 5419 16
8 5450 26
8 5586 46
9 105 100
9 1298 85
9 1658 32
9 1719 37
9 2124 77
9 2639 100
9 2836 70
9 2989 84
9 3424 44
9 3881 29
9 4052 97
9 4244 63
9 4585 12
9 5272 31
9 5275 74
9 5490 58
10 269 51
10 787 38
10 1378 51
10 1492 82
10 1785 19
10 1824 53
10 2280 44
10 2811 81
10 3189 47
10 3310 72
10 3787 85
10 3900 95
10 4054 12
10 4260 82
10 4313 25
10 4530 36
10 4617 17
10 4919 53
10 4972 34
10 5080 92
10 5227 48
10 5693 6
11 26 11
11 272 13
11 538 19
11 901 32
11 1080 40
11 1158 70
11 1554 22
11 2145 32
11 2171 1
11 3985 86
11 4507 6
11 5187 13
11 5279 79
11 5310 77
11 5655 22
12 212 43
12 535 28
12 988 25
12 1287 29
12 1449 7
12 1721 95
12 1725 44
12 2109 71
12 2213 16
12 2713 39
12 3153 61
12 3997 55
12 4977 43
12 5197 24
12 5726 91
12 5970 1
13 478 31
13 517 91
13 917 58
13 1292 38
13 2518 19
13 2649 34
13 3438 82
13 4143 71
13 4150 33
13 4238 77
13 5059 40
13 5492 56
13 5551 38
13 5960 55
13 5974 63
14 533 72
14 968 53
14 1339 6
14 1708 76
14 1894 46
14 2036 47
14 2213 3
14 2349 90
14 3380 46
14 3655 91
14 4114 42
14 4319 33
14 4627 35
14 4772 15
14 5128 35
14 5397 89
14 5648 34
15 267 19
15 411 23
15 1205 6
15 1360 69
15 2092 61
15 2343 11
15 2419 7
15 3068 19
15 4361 34
15 4724 3
15 5999 30
16 34 77
16 324 18
16 508 87
16 625 33
16 1164 19
16 1378 76
16 1958 33
16 2544 67
16 2692 27
16 2980 43
16 3565 10
16 3870 19
16 4017 13
16 5070 94
16 5225 78
16 5241 28
16 5333 1
16 5482 62
16 5524 43
16 5597 28
16 5684 73
17 90 77
17 1653 7
17 2763 2
17 3355 63
17 4353 7
17 4630 21
17 4658 73
17 4795 13
17 4819 13
17 4979 71
18 132 51
18 1673 8
18 2381 49
18 2530 1
18 2642 20
18 3340 84
18 3783 15
18 4410 13
18 4614 96
18 4971 19
18 5181 23
18 5572 100
18 5767 7
18 5789 15
18 5978 91
18 5990 85
19 42 31
19 1582 4
19 1718 6
19 1828 39
19 1881 21
19 2485 37
19 3026 92
19 4085 70
19 4578 74
20 160 93
20 407 73
20 913 2
20 1303 30
20 1811 94
20 2424 49
20 3159 60
20 4389 16
20 4539 48
21 369 64
21 1910 69
21 1938 8
21 2048 55
21 3349 87
21 3476 36
21 3550 17
21 3791 1
21 3972 49
21 4693 44
21 5904 22
22 608 22
22 768 65
22 1078 51
22 1122 5
22 1757 43
22 3230 73
22 3339 90
22 3476 91
22 3708 2
22 4106 100
22 4354 78
22 4434 83
22 4925 4
22 5299 18
22 5545 85
22 5984 91
23 377 56
23 391 33
23 815 98
23 1908 47
23 2402 8
23 2423 68
23 2512 71
23 3068 14
23 3726 49
23 3916 82
23 4465 10
23 4950 2
23 5142 59
23 5611 72
23 5684 88
24 209 48
24 1300 74
24 2198 81
24 2763 17
24 3807 31
24 4519 13
24 4642 51
24 4707 7
24 5559 16
25 1765 13
25 1862 30
25 2118 62
25 2294 60
25 2317 79
25 2797 44
25 3039 38
25 3059 87
25 3167 39
25 3945 63
25 4170 65
25 5857 67
25 5994 12
26 450 60
26 787 63
26 1145 97
26 1180 33
26 1296 86
26 1438 20
26 1791 85
26 2213 47
26 3056 12
26 3306 30
26 3591 31
26 3973 89
26 4141 72
26 4378 84
26 5051 18
26 5098 17
26 5204 64
26 5614 90
27 696 44
27 1059 49
27 1632 87
27 1649 15
27 2702 85
27 3590 32
27 4126 21
27 4190 32
27 4333 94
27 4794 24
27 4898 20
28 332 28
28 999 37
28 1073 15
28 1138 47
28 1685 26
28 2495 69
28 2589 81
28 2899 90
28 3680 78
28 3798 93
28 3868 94
28 4037 99
28 4087 12
28 4165 12
28 4610 17
28 5125 90
28 5478 7
29 814 93
29 928 24
29 1145 75
29 1895 36
29 2027 87
29 2178 81
29 2695 20
29 2712 88
29 3358 86
29 3437 40
29 3791 75
29 3974 41
29 4231 74
29 4878 55
29 4911 20
29 5034 14
29 5084 97
29 5235 79
29 5257 33
29 5303 36
29 5490 9
30 182 59
30 286 81
30 607 98
30 1070 40
30 1739 42
30 1842 56
30 2437 1
30 2464 67
30 2531 25
30 2532 8
30 3118 39
30 3303 48
30 3451 24
30 3488 42
30 3565 9
30 3778 92
30 3840 51
30 4318 94
30 5319 73
30 5743 70
31 134 1
31 217 13
31 442 78
31 926 28
31 1907 48
31 2041 61
31 3166 29
31 3722 40
31 3995 56
31 4471 93
31 5247 2
31 5278 42
31 5368 58
31 5421 31
31 5484 4
31 5991 24
32 186 8
32 407 97
32 814 45
32 1265 32
32 2282 13
32 2716 26
32 2808 57
32 2951 13
32 3766 71
32 3959 59
32 4483 62
32 4713 41
32 4989 48
32 5553 98
32 5641 89
32 5805 46
32 5929 85
33 668 69
33 1448 80
33 2456 52
33 2685 99
33 2905 31
33 4318 41
33 4577 21
33 4718 96
33 5010 42
33 5202 15
33 5991 23
34 147 1
34 802 58
34 1654 7
34 2306 82
34 2357 7
34 2546 15
34 2942 1
34 3491 20
34 3909 85
34 4376 69
34 5132 24
34 5262 94
34 5864 91
35 199 1
35 323 49
35 534 12
35 932 80
35 1094 67
35 1127 86
35 1151 99
35 1979 34
35 2204 85
35 2782 34
35 2958 43
35 3665 32
35 3751 27
35 3916 9
35 4080 79
35 4158 77
35 4596 94
35 4646 23
35 4774 49
35 5614 29
35 5716 78
35 5829 67
35 5890 4
36 414 74
36 437 41
36 682 28
36 967 74
