500 1972
1 49 10
1 112 6
1 166 8
1 317 9
1 470 6
2 38 2
2 67 3
2 84 2
2 101 10
2 102 4
2 120 4
2 130 8
2 248 10
2 256 7
2 294 8
2 308 4
2 323 9
2 327 5
2 337 3
2 436 5
2 453 1
2 468 7
2 469 2
2 482 5
2 497 1
3 6 9
3 21 7
3 50 4
3 146 1
3 197 8
3 200 4
3 343 8
3 347 4
3 402 1
3 451 6
3 462 10
3 492 4
4 107 7
4 157 7
4 258 10
4 261 7
4 353 7
4 385 6
4 449 3
4 483 1
5 61 1
5 73 8
5 283 8
5 312 9
6 85 9
6 232 5
6 297 2
6 348 4
6 354 5
6 380 1
6 385 4
6 389 4
6 426 2
6 441 8
6 461 3
6 476 4
6 493 2
7 111 6
7 198 9
7 241 9
7 341 4
7 403 7
7 436 4
8 113 7
8 131 3
8 347 1
8 398 10
9 19 1
9 245 5
9 251 8
9 373 6
9 452 6
9 458 1
9 488 3
9 491 4
10 16 5
10 41 10
10 111 3
10 190 8
10 193 4
10 251 1
10 268 2
10 310 6
10 338 3
10 353 7
11 87 1
11 205 6
11 237 6
11 252 4
11 302 10
11 329 10
11 413 9
11 466 3
11 480 4
12 92 8
12 155 5
12 169 3
12 180 9
12 322 6
12 331 9
12 371 4
12 377 2
12 459 2
12 486 6
13 32 9
13 85 3
13 183 2
13 218 7
13 397 3
13 493 6
14 20 6
14 31 10
14 36 7
14 117 5
14 120 3
14 135 5
14 189 9
14 252 3
14 322 4
14 343 7
15 45 4
15 244 4
15 249 7
15 344 4
16 111 4
16 268 3
16 386 6
16 495 10
17 23 9
17 76 8
17 195 1
17 232 2
17 259 10
17 308 2
17 372 10
17 401 9
17 407 3
17 440 8
17 472 2
18 102 8
18 118 4
18 120 3
18 124 8
18 183 3
18 251 8
18 346 6
18 431 5
18 434 7
18 462 8
18 491 7
19 140 6
19 238 9
19 258 1
20 43 6
20 157 4
20 176 2
20 299 6
20 335 4
20 366 3
20 367 10
20 376 7
20 392 8
20 411 8
20 420 1
21 77 1
21 98 7
21 104 7
21 113 4
21 189 3
21 194 6
21 199 9
21 293 1
21 331 8
21 363 10
21 407 9
21 438 8
21 490 1
22 27 4
22 71 4
22 77 6
22 120 9
22 222 8
22 272 5
22 289 5
22 298 3
22 370 10
22 371 2
22 469 1
22 493 8
23 86 7
23 136 5
23 308 1
23 463 10
23 487 2
23 492 9
24 50 3
24 70 1
24 150 1
24 238 3
24 266 7
24 274 7
24 443 7
24 490 7
25 38 5
25 49 5
25 238 4
25 388 1
25 463 2
25 494 9
26 333 5
26 370 10
26 384 8
26 386 4
27 41 10
27 340 6
27 346 3
27 392 8
27 411 1
27 482 5
27 495 2
28 101 9
28 116 6
28 128 10
28 316 4
28 380 2
28 389 1
28 426 1
28 463 4
28 495 4
28 499 9
29 76 10
29 137 7
29 248 7
29 342 2
29 379 2
29 384 3
29 394 1
29 415 10
29 437 4
29 496 10
30 45 10
30 325 5
30 414 7
31 73 8
31 75 5
31 198 6
31 219 2
31 242 8
31 299 4
32 67 2
32 90 2
32 159 10
32 189 9
32 205 1
32 268 6
32 278 7
32 289 6
32 386 8
32 445 8
33 82 7
33 106 4
33 131 8
33 152 7
33 173 6
33 338 1
33 377 6
34 178 4
34 370 5
34 380 7
34 438 2
34 472 1
34 479 10
35 95 3
35 115 3
35 119 7
35 188 10
35 194 8
35 196 7
35 278 2
35 353 3
35 424 8
36 111 2
36 151 6
36 175 1
36 359 3
36 430 5
37 224 2
37 340 9
38 41 1
38 45 4
38 114 7
38 298 3
38 419 2
38 424 4
39 87 1
39 196 7
39 255 2
39 262 1
39 286 10
39 297 7
39 298 10
39 374 10
39 402 6
39 430 6
39 443 8
39 496 4
40 168 7
40 186 1
40 280 10
40 332 3
40 342 3
40 362 1
40 382 5
40 412 3
40 420 8
41 125 5
41 206 8
41 257 9
41 261 3
41 279 7
41 288 2
41 352 7
42 310 7
42 328 7
42 350 1
42 500 3
43 84 7
43 111 10
43 129 5
43 146 5
43 147 4
43 174 2
43 408 5
43 429 3
44 113 10
44 128 9
44 134 5
44 249 10
44 478 2
44 483 7
45 68 7
45 99 6
45 170 3
45 203 1
45 210 8
45 241 5
45 247 6
45 256 8
45 304 2
45 311 10
45 417 4
45 487 8
46 51 8
46 78 3
46 83 3
46 91 9
46 106 8
46 110 5
46 113 2
46 126 4
46 150 8
46 181 7
46 249 4
46 301 2
46 377 2
46 407 9
46 452 8
47 59 8
47 163 10
47 188 10
47 203 2
47 322 2
47 414 1
47 419 6
48 116 4
48 122 8
48 281 4
48 387 1
48 410 10
48 438 2
49 101 10
49 220 2
49 346 10
49 350 8
49 354 9
49 392 5
49 445 2
49 455 3
49 489 3
50 59 4
50 149 3
50 158 2
50 211 2
50 251 8
50 315 1
50 467 1
51 110 7
51 203 9
51 244 2
51 286 4
51 368 8
51 476 2
52 136 9
52 169 6
52 488 9
53 180 8
53 251 8
53 335 6
53 378 2
53 453 6
54 61 3
54 182 10
54 183 1
54 276 6
54 345 5
54 406 4
54 448 5
55 62 10
55 63 5
55 68 10
55 74 9
55 109 9
55 144 1
55 164 7
55 238 7
55 322 2
55 437 1
56 103 5
56 107 3
56 161 1
56 168 6
56 184 1
56 214 10
56 247 5
56 264 5
56 284 5
56 285 8
56 331 2
56 389 6
56 400 6
57 109 10
57 197 2
57 339 5
57 438 3
58 226 3
58 253 4
58 278 7
58 296 10
58 308 1
58 313 3
58 338 6
58 394 5
58 475 1
59 69 6
59 91 4
59 416 2
60 95 5
60 198 1
60 257 5
60 295 2
60 426 8
60 445 5
60 448 5
60 483 4
60 484 3
61 193 4
61 244 10
61 284 5
61 285 10
61 347 7
61 351 5
61 436 9
62 123 4
62 164 4
62 171 3
62 202 10
62 452 7
62 482 10
62 495 8
63 204 10
63 333 9
63 336 3
63 402 8
63 484 7
64 153 3
64 271 5
64 424 6
64 431 9
64 475 1
65 164 7
65 252 5
65 265 6
65 271 8
65 306 4
65 466 8
65 479 3
66 247 10
66 255 8
66 272 2
66 361 6
66 387 2
66 397 1
66 454 7
66 455 3
66 494 8
67 78 9
67 98 5
67 102 4
67 160 4
67 219 2
67 393 6
67 422 9
67 469 2
68 92 6
68 210 3
68 356 6
68 487 5
69 73 8
69 99 9
69 179 5
69 296 3
69 307 10
69 363 6
70 214 7
70 325 5
70 354 1
70 382 8
70 386 5
71 112 7
71 145 3
71 290 1
71 368 7
72 240 10
72 248 2
72 294 6
