50000 232877
1 22172 4
1 25871 2
1 33782 2
1 41968 1
1 42853 4
1 49180 2
2 3233 3
2 5187 3
2 15037 1
2 19927 3
2 34057 2
2 35294 5
2 36271 5
2 41246 2
2 46348 4
2 47851 1
3 8175 2
3 10600 4
3 17087 5
3 19041 1
3 19284 4
3 20809 1
3 21536 1
3 23471 1
3 25093 2
3 25476 1
3 32837 4
3 33696 2
3 41645 1
4 8909 2
4 17024 2
4 22154 1
4 25823 1
4 30005 1
4 39274 4
4 44042 4
4 45057 2
4 46516 5
4 48679 1
5 6965 3
5 22090 1
5 23819 3
5 26168 5
5 31248 3
5 42218 1
5 45085 3
5 46261 3
6 2823 3
6 9023 4
6 11034 4
6 11447 2
6 19225 4
6 28532 2
6 32397 3
6 41252 4
7 6764 4
7 10336 3
7 11736 1
7 14881 3
7 19287 3
7 19465 3
7 29624 2
7 31497 2
7 36196 2
8 1954 4
8 5330 2
8 5720 1
8 8418 3
8 11073 1
8 15979 2
8 28035 2
8 29429 2
8 32273 2
8 44278 4
8 49496 3
9 296 1
9 10548 3
9 16473 2
9 18682 5
9 20365 1
9 21875 3
9 25922 4
9 27910 2
9 32356 2
9 38831 5
10 11375 1
10 18782 2
10 23645 4
10 27381 1
10 31288 2
10 33557 3
10 35053 2
10 36267 4
10 48761 1
11 5573 2
11 7310 5
11 22298 4
11 24797 2
11 25892 3
11 33215 1
11 39859 3
12 6866 1
12 7606 1
12 18977 4
12 49171 5
13 882 1
13 6290 4
13 6617 2
13 7073 4
13 20993 4
13 31596 5
13 35982 4
13 44126 5
13 44197 4
14 1418 1
14 18309 1
14 27822 2
15 1001 3
15 1760 2
15 2585 1
15 11906 2
15 13257 3
15 13306 3
15 14917 2
15 16570 4
15 24614 5
15 29720 1
15 32982 3
15 33744 5
15 36080 5
15 37170 4
15 46653 1
16 29497 2
16 36559 3
16 49563 5
17 2375 5
17 4183 2
17 4567 2
17 9374 4
17 14509 3
17 16781 2
17 18587 1
17 19799 4
17 31158 1
17 41396 4
17 44510 3
18 1229 3
18 1832 2
18 10854 2
18 14563 2
18 21333 1
18 21461 2
18 22949 3
18 36520 1
19 6819 4
19 7716 1
19 14374 2
19 17997 4
19 25050 2
19 37265 2
19 40261 2
19 44821 5
20 821 1
20 11989 2
20 15107 3
20 17728 4
20 24898 3
20 25291 4
20 32471 1
20 38980 1
20 41981 1
20 42325 3
20 42541 5
20 43367 5
20 45852 4
21 7310 4
21 15610 3
21 17962 5
21 21543 1
21 26391 4
21 27262 2
21 28823 2
21 32160 4
21 40071 4
21 43999 5
22 2017 2
22 2168 1
22 2377 1
22 15533 5
22 28760 4
22 32852 2
22 37883 2
22 38783 1
22 41573 2
22 41627 1
22 42462 5
22 45907 1
22 47104 3
23 1970 3
23 2359 4
23 14072 2
23 19899 2
23 22465 2
23 24454 4
23 27033 4
23 28365 5
23 30874 4
23 40208 2
24 1262 1
24 1632 4
24 2296 4
24 8957 4
24 10957 3
24 16152 2
24 17077 5
24 30701 3
24 34483 2
24 44053 2
24 49485 2
25 1003 2
25 12014 4
25 12367 2
25 14917 3
25 20298 4
25 20730 2
25 23750 3
25 31140 1
25 31973 1
25 36172 3
25 38837 3
25 47945 1
25 48909 2
26 4477 2
26 6795 1
26 7441 1
26 11025 1
26 16034 3
26 19046 4
26 23769 4
26 32604 5
26 36346 5
27 3353 1
27 9952 2
27 12800 4
27 13704 3
27 19030 1
27 20848 4
27 22674 2
27 22735 4
27 23754 3
27 27173 1
27 27557 4
27 30277 1
27 30281 4
27 33986 4
27 36210 5
27 45290 3
27 47828 1
27 48041 4
28 155 5
28 2694 5
28 4712 3
28 10651 2
28 16231 4
28 26116 1
28 27143 3
28 40673 3
28 41397 4
29 2612 4
29 19954 3
29 21442 4
29 21505 1
29 26776 1
29 29519 5
29 35308 2
29 35875 4
29 37171 4
29 39268 3
29 39448 2
29 39960 3
29 43937 4
29 48273 1
30 10618 2
30 12068 3
30 17473 5
30 17557 4
30 18811 1
30 29718 3
30 34141 4
30 34843 2
30 36661 3
30 41671 4
30 48726 4
30 49187 4
31 3422 1
31 5169 5
31 7332 1
31 11930 5
31 27698 5
31 31791 3
31 35438 4
31 35882 2
31 36598 1
31 38778 2
32 1175 1
32 1848 3
32 6958 5
32 8187 3
32 11553 4
32 31765 2
32 33093 1
32 47906 5
33 7048 5
33 7056 4
33 23088 5
33 23531 3
33 24399 2
33 36992 3
33 43807 4
34 2378 1
34 5495 2
34 7700 2
34 28010 2
34 28029 2
34 32002 3
34 33783 1
34 35036 4
34 35803 1
34 38021 2
34 41466 1
34 42896 2
34 45082 4
35 3797 1
35 7343 1
35 20623 4
35 21998 1
35 36450 4
35 39837 3
35 40586 2
35 48454 2
36 9891 3
36 16912 3
36 19824 5
36 26251 2
36 34169 2
36 44192 1
36 48323 1
37 2126 2
37 6952 1
37 17990 2
37 30409 1
37 32393 1
37 32627 5
37 43585 1
37 47769 5
38 6973 2
38 7541 1
38 14951 5
38 21138 3
38 27609 1
38 44130 3
38 44677 3
38 45293 5
38 47659 1
38 48655 2
39 1171 5
39 11716 2
39 23376 3
39 28490 1
39 30343 2
39 41219 5
39 47858 4
39 48555 3
40 7833 3
40 8124 2
40 21775 2
40 28612 2
40 30510 5
40 35699 1
40 36221 2
40 37581 2
40 37708 5
40 38446 3
40 47079 2
41 4761 5
41 10439 3
41 13320 3
41 13545 2
41 27659 5
41 28483 2
41 31518 3
41 36293 5
