100 211
1 7 1
1 17 4
1 37 1
1 46 3
1 97 5
2 32 1
2 55 3
3 39 1
3 61 2
4 36 5
4 57 4
4 74 3
4 81 4
4 84 3
5 13 3
5 25 2
5 30 2
5 32 3
5 36 1
5 49 2
5 51 3
5 54 2
5 67 5
5 78 1
5 84 4
5 93 1
6 29 4
6 84 2
7 10 1
7 14 1
7 20 1
7 37 2
7 49 3
7 61 1
7 95 3
8 19 4
8 35 1
8 40 2
8 44 3
8 56 4
8 72 5
8 91 5
9 39 1
9 50 5
9 85 2
9 91 3
10 13 3
10 37 2
10 65 2
11 61 1
11 82 1
11 97 2
12 13 5
12 17 5
12 25 2
12 38 2
12 46 1
12 53 4
12 65 3
12 67 4
12 75 2
12 79 5
13 56 1
13 58 2
13 60 4
14 33 2
14 92 3
15 64 5
15 74 2
15 78 2
15 98 2
16 31 5
16 46 3
16 47 4
16 50 2
17 20 3
17 27 1
18 36 2
18 65 5
18 96 1
19 33 2
19 40 1
19 96 4
20 71 3
20 85 5
21 32 3
21 64 2
22 39 1
22 44 5
22 63 3
22 93 4
23 61 1
24 90 4
24 97 1
25 37 1
25 86 4
25 89 4
26 30 3
26 32 1
26 75 4
26 90 2
27 55 5
27 72 4
27 80 1
27 85 5
27 97 3
28 31 1
28 43 3
28 48 1
28 54 3
28 79 3
29 65 5
29 79 4
30 41 3
30 49 2
30 84 4
30 91 5
30 100 2
31 39 5
31 42 3
31 78 1
32 75 4
32 77 4
32 92 3
32 94 5
33 69 2
33 75 4
33 81 3
34 37 5
34 49 1
34 60 4
34 72 2
34 81 5
34 86 2
34 96 4
35 63 3
37 44 1
37 46 1
37 54 2
38 68 2
38 89 3
38 90 3
38 94 1
39 62 1
39 79 2
39 80 3
39 85 4
40 53 3
40 79 3
41 53 3
41 75 1
41 81 5
42 64 1
42 77 3
42 81 1
43 67 5
43 75 3
43 79 2
43 82 4
44 75 1
44 79 4
44 85 5
44 97 3
45 81 1
49 85 4
49 86 5
49 98 1
50 74 4
50 91 1
52 65 2
52 79 5
52 89 3
52 90 2
53 74 2
53 75 2
53 89 4
54 72 3
54 96 5
55 83 5
55 91 1
55 93 2
56 59 2
56 83 1
56 100 2
57 71 2
58 84 3
59 99 2
60 85 3
60 89 3
63 97 5
65 73 5
65 79 2
66 73 5
70 91 3
76 86 2
76 98 2
78 85 4
78 100 2
79 82 3
79 93 2
80 99 4
81 91 1
81 93 5
81 97 1
82 97 1
83 85 1
84 88 5
84 90 3
85 92 4
87 88 2
89 96 5
