50000 258223
1 3162 2
1 19727 4
1 24178 2
1 26129 4
1 26208 2
1 32809 1
1 35298 3
1 35949 2
1 40379 5
1 42725 2
2 12089 3
2 12232 3
2 18671 3
2 37404 4
3 9661 4
3 10954 4
3 18700 4
3 20582 4
3 21769 3
3 37125 2
3 39740 1
3 41981 3
3 44397 5
3 44720 4
3 45802 5
3 47779 4
3 48343 4
3 48530 5
4 726 2
4 1457 5
4 4854 3
4 11702 5
4 18760 4
4 19392 5
4 21843 2
4 45971 2
4 49423 3
5 931 4
5 2849 4
5 5225 5
5 9746 1
5 11324 4
5 12577 4
5 15947 5
5 17766 5
5 21236 4
5 24140 1
5 40688 1
5 40711 2
5 40797 2
5 41337 2
5 49374 1
5 49375 3
6 8646 1
6 9318 5
6 13353 1
6 14040 2
6 34860 1
6 41211 1
6 42601 2
6 45083 2
7 7298 5
7 8234 4
7 11088 2
7 21965 4
7 23085 4
7 24270 3
7 25675 4
7 34107 1
8 595 2
8 3701 4
8 5141 3
8 6537 4
8 7625 1
8 10412 3
8 15005 3
8 17249 1
8 24943 3
8 25887 3
8 35415 5
8 38773 2
8 41513 2
8 42046 5
9 4975 3
9 5560 5
9 8506 4
9 15422 4
9 49437 1
10 2597 5
10 7621 3
10 17278 3
10 21769 1
10 22972 3
10 31006 5
10 35018 1
10 37259 2
10 38784 2
10 45092 3
10 47168 5
10 47566 5
11 14135 1
11 16055 5
11 17768 3
11 19801 2
11 23614 2
11 25705 5
11 29139 3
11 33668 1
11 45653 4
12 2503 1
12 3045 2
12 9078 2
12 9474 1
12 11092 5
12 11724 3
12 22529 5
12 38546 4
12 39835 3
12 40354 2
12 40964 3
13 1763 3
13 4345 2
13 5210 1
13 10928 5
13 16579 1
13 18639 3
13 21222 2
13 25245 5
13 41785 4
13 43835 5
13 44147 4
14 9467 5
14 18319 4
14 18615 1
14 24631 5
14 27438 4
14 28157 5
14 28682 2
14 30786 1
14 32989 4
14 33160 2
14 34379 3
14 34989 1
14 47691 1
14 48588 2
15 10002 5
15 12547 2
15 12864 4
15 14942 2
15 16293 5
15 18183 4
15 22193 2
15 23973 2
15 25788 2
15 27082 1
15 37653 1
15 42036 2
16 3180 1
16 6501 3
16 9842 1
16 15928 1
16 20522 2
16 32659 2
16 35485 5
16 36306 5
16 45893 1
16 47768 1
17 602 2
17 17034 2
17 26142 1
17 26950 1
17 35455 5
17 35801 3
17 37795 1
18 5213 1
18 21301 3
18 27548 3
18 27817 3
18 31430 1
18 38242 5
18 39825 1
18 42917 3
18 43356 5
19 20950 3
19 21479 5
19 25040 2
19 26116 4
19 29600 3
19 45174 2
19 48934 3
20 3180 2
20 8598 1
20 19896 4
20 22833 2
20 29142 3
20 49627 1
21 8929 4
21 14334 3
21 17376 1
21 22842 1
21 26772 4
21 27182 2
21 27664 5
21 28707 1
21 28860 4
21 36347 1
22 1477 4
22 11289 3
22 13720 5
22 19841 4
22 22343 3
22 26710 5
22 30082 1
22 34342 2
22 37551 2
22 40073 4
22 42254 3
22 44201 3
22 45119 5
22 46551 4
22 49946 3
23 1976 1
23 9059 5
23 12074 5
23 31569 5
23 34290 4
23 34956 1
23 35945 1
23 43265 4
23 45642 3
23 48471 2
24 2710 1
24 4062 5
24 6372 3
24 8151 2
24 12934 2
24 15577 3
24 28699 1
24 46125 2
25 16565 2
25 36339 3
25 40639 4
25 40968 2
25 41424 1
25 45046 1
25 47168 3
25 48140 1
25 48232 5
26 2135 2
26 9644 2
26 18066 4
26 25497 4
26 25832 5
26 29101 3
26 38417 5
26 39909 1
26 41033 4
26 41972 1
26 44750 4
26 47514 3
27 6661 4
27 8819 4
27 14530 1
27 34251 2
27 37094 3
27 37785 3
27 37906 4
27 38200 4
27 43885 5
27 48150 5
27 48939 1
28 10941 3
28 11941 4
28 15855 5
28 23936 5
28 36435 5
28 42650 3
28 45712 2
29 2058 4
29 2898 5
29 14515 4
29 21763 3
29 26087 1
29 35756 4
29 47475 1
29 48747 1
29 49710 5
30 1043 1
30 7977 2
30 10457 4
30 15783 1
30 25238 2
30 27398 2
30 31720 1
30 33559 1
30 34686 1
30 35114 2
30 43212 5
30 45437 2
31 693 3
31 1524 1
31 3182 4
31 5238 2
31 6082 2
31 8233 4
31 10209 4
31 19036 4
31 30147 4
31 30402 4
31 32067 4
31 35867 2
31 35957 4
