2000 7944
1 50 67
1 141 60
1 342 40
1 434 12
1 488 44
1 814 38
1 872 68
1 1181 88
1 1247 11
1 1609 51
1 1658 4
1 1899 78
2 92 96
2 544 54
2 594 74
2 719 27
2 1859 16
2 1980 59
3 40 63
3 97 40
3 229 24
3 394 17
3 567 75
3 756 13
3 824 45
3 1128 66
3 1407 79
3 1498 31
3 1820 53
3 1833 17
4 583 54
4 1689 40
4 1901 64
5 507 43
5 589 93
5 787 55
5 906 69
5 1062 52
5 1194 45
5 1257 48
5 1540 69
5 1582 7
5 1783 71
6 47 44
6 135 92
6 299 8
6 311 70
6 595 6
6 833 41
6 1540 1
6 1602 94
7 21 89
7 89 78
7 214 58
7 571 84
7 880 17
7 891 30
7 1526 7
7 1984 17
8 729 23
8 908 46
8 923 29
8 1559 27
9 173 8
9 266 23
9 870 53
9 1124 55
9 1679 27
9 1972 54
10 72 83
10 474 66
10 546 41
10 587 24
10 809 43
10 992 94
10 1201 71
10 1356 49
10 1847 4
11 372 72
11 438 85
11 949 21
11 1857 9
11 1970 37
12 474 24
12 507 61
12 531 69
12 764 13
12 1067 8
12 1115 55
12 1189 44
12 1788 92
13 17 68
13 158 3
13 262 81
13 370 9
13 429 33
13 513 19
13 796 62
13 942 100
13 1062 42
13 1073 29
13 1084 44
13 1130 60
13 1794 47
13 1857 36
14 272 13
14 973 77
14 1096 45
14 1462 57
14 1726 30
15 61 26
15 98 75
15 231 46
15 454 4
15 771 39
15 879 57
15 939 25
16 21 37
16 128 74
16 1232 23
16 1891 16
17 123 6
17 455 89
17 702 77
17 870 9
17 1481 63
17 1527 16
17 1567 27
18 19 97
18 361 28
18 518 5
18 1614 33
18 1952 11
19 123 28
19 314 86
19 1038 11
19 1401 39
19 1491 51
19 1534 77
19 1546 5
19 1825 32
19 1922 65
20 170 89
20 442 85
20 992 35
20 1040 67
20 1384 23
20 1582 82
20 1621 61
21 91 58
21 139 21
21 523 51
21 973 3
21 1099 6
21 1146 71
21 1300 69
21 1550 13
21 1574 60
21 1950 56
22 210 31
22 709 84
22 861 20
22 1176 62
22 1250 68
22 1331 6
22 1459 15
22 1673 60
22 1985 34
23 29 30
23 67 80
23 218 78
23 517 86
23 582 20
23 843 8
23 969 51
23 1005 80
23 1046 82
23 1337 19
23 1527 29
23 1693 79
23 1709 53
23 1934 43
23 1983 7
24 272 78
24 946 78
25 356 3
25 398 30
25 835 99
25 854 81
25 1188 18
25 1688 81
25 1804 90
25 1813 3
25 1870 88
26 264 17
26 324 88
26 466 13
26 504 63
26 678 84
26 1266 1
26 1406 46
26 1427 41
26 1535 30
26 1698 5
26 1838 19
27 294 14
27 669 73
27 780 80
27 1079 50
27 1186 52
27 1223 27
27 1292 84
27 1456 60
27 1464 21
28 158 48
28 197 54
28 586 85
28 905 30
28 1365 14
28 1602 94
28 1606 90
28 1986 92
29 383 43
29 417 5
29 713 34
29 722 75
29 998 33
30 481 15
30 795 46
30 908 10
30 1080 40
30 1640 64
30 1661 99
31 283 99
31 1224 33
31 1429 89
31 1516 41
31 1739 33
31 1865 56
32 221 50
32 262 87
32 644 32
32 876 37
32 998 56
32 1373 66
32 1633 49
32 1836 87
32 1934 51
33 633 4
33 818 64
33 935 76
33 1479 90
33 1573 27
33 1787 14
33 1961 24
34 109 97
34 125 83
34 553 27
34 1306 24
34 1406 41
34 1880 49
35 188 8
35 1570 36
35 1921 69
35 1952 10
36 78 33
36 792 50
36 1189 88
37 105 58
37 147 41
37 312 30
37 319 72
37 494 31
37 755 65
37 810 87
37 1133 78
37 1214 37
37 1241 9
37 1521 54
37 1824 20
37 1931 38
38 103 92
38 688 50
38 1024 92
38 1175 98
38 1657 45
39 273 91
39 331 7
39 382 43
39 695 48
39 1320 59
39 1476 22
39 1514 96
39 1616 51
39 1660 10
40 84 17
40 266 62
40 478 49
40 502 31
40 1060 53
40 1632 1
40 1988 43
41 392 72
41 805 51
41 1029 73
41 1151 36
42 408 25
42 421 18
42 735 89
42 1268 32
42 1642 22
43 154 80
43 264 22
43 506 99
43 578 98
43 613 75
43 723 58
43 743 19
43 934 35
43 1063 22
43 1102 84
43 1114 29
43 1298 41
44 306 57
44 388 5
44 1439 18
44 1960 65
44 1996 20
45 152 73
45 192 45
45 194 88
45 704 76
45 745 44
45 931 62
45 959 47
45 1384 22
45 1870 13
45 1939 35
46 120 15
46 162 50
46 478 49
46 615 64
46 787 57
46 921 70
46 1000 25
46 1350 92
47 61 3
47 128 54
47 170 16
47 209 78
47 267 26
47 494 10
47 1410 14
48 684 41
48 1032 57
48 1096 100
48 1234 73
48 1351 26
48 1575 69
48 1616 16
48 1800 64
48 1959 82
49 66 18
49 480 26
49 527 5
49 744 67
49 925 91
49 1343 15
50 80 75
50 580 52
50 773 15
50 1351 19
50 1694 48
