50000 293369
1 844 2
1 8033 5
1 14191 4
1 18956 1
1 19058 5
1 25262 4
1 27232 1
1 32102 4
1 34234 3
1 37558 5
1 41992 5
1 43454 3
1 45095 4
1 45137 5
1 47321 1
1 49028 1
2 6371 2
2 11472 5
2 23297 1
2 24246 5
2 28015 1
2 29697 1
2 31507 2
2 38464 4
2 44995 3
2 45388 2
2 48007 4
3 75 3
3 2288 1
3 7662 5
3 9989 2
3 12371 4
3 27497 3
3 34041 3
3 37957 5
3 39656 3
3 47603 4
4 10102 1
4 12503 2
4 15445 5
4 23291 5
4 27040 1
4 30444 1
4 30759 3
4 37968 5
4 39514 2
4 40610 5
4 43003 3
4 48947 4
5 3764 2
5 6030 5
5 6242 2
5 17522 4
5 18518 5
5 21490 1
5 21626 1
5 22942 2
5 24526 3
6 3822 5
6 4520 2
6 5470 3
6 9901 2
6 15731 2
6 16191 2
6 18647 1
6 26339 4
6 27379 1
6 28725 4
6 35229 1
6 39290 4
6 40358 5
6 46995 4
6 49082 2
7 7407 2
7 11152 1
7 24546 2
7 25593 1
7 28424 3
7 30177 3
7 31528 5
7 32319 3
7 32561 3
7 39311 4
7 42482 2
7 42737 5
7 44876 1
7 47308 5
7 49283 3
8 1627 1
8 5525 5
8 6799 1
8 13800 1
8 28227 5
8 30708 4
8 42163 3
8 46895 3
9 10362 1
9 12000 3
9 18116 4
9 20166 3
9 23059 4
9 24715 2
9 28787 3
9 29489 4
9 40937 4
9 42390 4
9 43664 4
9 45245 5
9 47665 4
10 3415 3
10 5808 4
10 11426 1
10 22118 5
10 27312 4
10 28589 2
10 30510 4
10 35089 2
10 35310 4
10 37890 4
10 39582 1
10 42758 2
10 43474 5
10 45749 4
10 47140 3
11 13568 3
11 23477 2
11 24916 2
11 26769 1
11 28001 2
11 30088 3
11 31350 2
11 32504 5
11 33858 2
11 34992 1
11 38716 3
11 40078 4
11 41188 1
11 42246 3
11 47735 1
12 2180 2
12 5637 1
12 13968 4
12 16280 1
12 17286 5
12 26755 3
12 29601 4
12 33666 2
12 33800 2
12 36335 2
12 39849 2
12 45660 5
13 2021 4
13 7945 5
13 14778 5
13 16878 5
13 17358 5
13 17462 1
13 26795 1
13 30723 5
13 30859 1
13 38037 5
13 44505 4
13 49897 3
14 6513 2
14 7507 1
14 11621 3
14 12739 4
14 12920 5
14 13824 2
14 14249 2
14 36052 2
15 236 3
15 3203 1
15 6037 1
15 11234 3
15 24389 5
15 24815 1
15 35834 2
15 38483 4
15 41069 4
15 44782 5
15 46661 2
16 2178 5
16 2941 3
16 8370 5
16 12655 4
16 14455 2
16 16418 4
16 24535 5
16 25852 3
16 27561 5
16 28878 5
16 29512 5
16 39590 2
16 39621 5
16 42706 4
16 49378 5
17 435 2
17 4854 4
17 15891 4
17 19510 1
17 27817 4
17 32849 4
17 43589 5
17 47240 5
18 1576 5
18 4872 2
18 5249 2
18 6261 5
18 8354 2
18 10771 1
18 13625 5
18 17847 4
18 18734 2
18 24181 2
18 30301 4
18 32062 2
18 44000 2
18 45361 5
19 841 4
19 1449 2
19 15370 3
19 19115 1
19 19293 5
19 25466 2
19 31856 1
19 32461 3
19 35323 1
19 35461 3
19 36273 1
19 40930 5
19 41731 1
19 42438 2
19 48846 1
20 247 5
20 3645 1
20 4146 3
20 6126 3
20 11650 3
20 13091 5
20 17195 5
20 19344 4
20 19488 1
20 23752 3
20 37584 1
20 49680 5
21 5145 1
21 7963 1
21 14425 3
21 23048 5
21 29868 1
21 36063 5
21 38599 4
21 42574 3
21 43291 1
21 44212 4
21 47709 1
22 3080 2
22 8594 3
22 15257 5
22 17766 4
22 22669 3
22 23444 2
22 31630 4
22 32175 1
22 34403 3
22 41395 4
22 46146 4
23 7262 1
23 8141 2
23 9470 3
23 11082 2
23 11166 4
23 11733 5
23 11941 2
23 20558 1
23 27370 5
23 27735 4
23 32857 4
23 36220 4
23 38702 1
23 43661 1
23 49185 1
24 2397 5
24 10141 4
24 11750 4
24 15549 5
24 16884 2
24 19249 5
24 23890 4
24 36184 5
24 36558 4
24 37377 5
24 44006 1
24 45072 2
24 48905 4
25 6701 5
25 9370 3
25 9578 2
25 9991 1
25 10552 5
25 13061 1
25 17664 2
25 24647 3
25 26275 2
25 30606 3
25 47103 5
25 48643 3
25 49438 2
26 8917 2
26 10121 2
26 15026 2
26 28562 1
26 30836 3
26 32226 3
26 34072 3
26 35624 2
26 35631 2
27 3238 3
27 3492 3
27 12940 5
27 17254 3
27 30056 2
27 30489 1
27 30814 1
27 31107 5
27 37735 1
27 43629 1
27 46634 2
27 47289 3
27 47498 4
28 2772 4
28 6331 5
28 14568 1
28 29350 1
28 33497 2
28 33792 3
28 40721 1
29 4711 3
29 20087 2
29 20534 4
29 21659 2
29 24683 2
29 25551 4
29 27279 5
29 31981 1
29 34186 4
29 42091 1
29 46201 2
29 46512 2
30 290 3
30 395 1
30 854 4
30 5086 1
30 6330 5
30 18256 1
30 23688 5
30 35495 4
30 35517 5
30 45514 5
30 45748 5
30 47456 4
31 14806 3
31 15544 4
31 22875 1
31 24409 2
31 31143 3
31 31526 4
31 34574 3
31 41096 1
31 47587 1
32 3738 3
32 9172 5
32 14986 1
32 19606 4
32 26680 5
32 28823 3
32 33154 4
32 38808 5
32 40693 2
32 49790 2
33 562 5
33 7058 3
33 9522 4
33 9835 5
33 13426 1
33 15005 5
33 16567 1
33 25371 2
33 25976 2
33 27793 2
33 30558 4
33 32542 1
33 36438 2
33 37212 1
33 38798 5
33 39054 1
34 11424 1
34 15442 5
34 27009 5
34 27155 4
34 30676 4
35 825 1
35 1807 4
35 4216 4
35 6807 3
35 10715 5
35 14693 3
35 17373 3
35 19658 1
35 21387 2
35 25403 2
35 28470 3
35 28776 1
35 37163 1
35 37527 4
35 41463 5
35 42873 2
35 46017 1
36 5166 1
36 5965 4
36 20271 3
36 20569 5
36 23708 2
36 45345 5
36 46281 2
37 4559 4
37 6252 2
37 12161 1
37 14567 5
37 16331 3
37 33464 4
37 35629 4
37 36486 1
37 38505 4
37 46751 1
38 13524 1
38 14312 2
38 22521 2
38 27240 2
38 29312 1
38 31525 1
38 34150 4
38 34589 1
38 37232 5
38 40766 2
38 45542 3
38 46229 3
38 47366 5
39 1023 1
39 2091 1
39 14899 3
39 15079 1
39 22200 2
39 24713 4
39 27032 2
39 28738 4
39 31029 3
39 31654 5
39 36998 4
39 44619 1
39 45941 3
39 45953 1
39 46254 5
39 46835 2
39 47148 5
39 49201 5
40 3040 3
40 4594 2
40 4990 3
40 10684 5
40 10690 4
40 13407 4
40 16611 5
40 16834 2
40 25271 2
40 30874 2
40 31220 5
40 36914 5
40 43983 2
40 49896 3
41 1033 5
41 4244 4
41 15843 2
41 29487 2
41 31982 5
41 48680 3
42 7739 1
42 10233 4
42 10568 3
42 13280 5
42 13764 1
42 16436 2
42 25413 3
42 29107 2
42 41412 1
42 46621 4
43 9547 5
43 10862 3
43 11470 1
43 11766 3
43 15894 4
43 27622 5
43 29970 3
43 30957 1
43 32085 2
43 33097 2
43 37034 5
44 641 2
44 6940 3
44 10692 4
44 13799 4
44 27405 4
44 27565 5
44 29021 1
44 35492 4
44 39989 4
44 40613 2
44 44070 5
44 44929 1
45 838 2
45 6047 3
45 7573 5
45 11301 5
45 12925 1
45 13939 4
45 15289 5
45 24305 1
45 24433 4
45 24487 2
45 30522 2
45 31492 3
45 31774 1
45 35632 1
45 35662 2
45 40323 5
45 43470 5
45 44690 4
46 7760 2
46 8212 5
46 14598 2
46 14859 1
46 15096 5
46 17354 3
46 20718 3
46 22166 3
46 28037 5
46 28137 5
46 32101 2
46 34236 2
46 48397 3
47 10175 1
47 11679 1
47 16396 1
47 18954 3
47 23688 5
47 26526 5
47 30001 2
47 35952 1
47 36335 1
47 37360 5
47 37445 1
47 42281 1
48 10618 5
48 11796 1
48 17510 2
48 19916 2
48 20897 5
48 35050 4
48 46183 1
48 46574 3
48 46682 3
49 7748 2
49 21021 1
49 32210 5
49 32801 5
49 40117 1
49 45661 3
49 47734 1
49 48908 3
49 49237 1
50 11619 2
50 13684 5
50 13824 4
50 17969 1
50 18758 4
50 19614 1
50 36221 2
50 36610 2
50 38895 4
51 3164 3
51 6356 2
51 13874 1
51 22375 5
51 23584 3
51 25499 4
51 43442 4
51 43677 5
51 48046 1
52 5569 3
52 9270 4
52 10936 5
52 27713 3
52 28925 1
52 34887 3
52 47106 2
52 48983 3
53 15750 3
53 19234 4
53 19337 1
53 23157 4
53 34090 5
53 36403 3
53 36631 2
53 42470 4
53 43602 4
53 48746 4
53 49570 1
54 4801 5
54 9108 4
54 16933 4
54 17303 5
54 17476 4
54 19353 1
54 21159 3
54 22125 5
54 29971 4
54 31064 3
54 32537 1
54 40197 3
54 41738 2
54 41775 5
54 42874 4
54 43124 3
54 45348 2
54 49265 5
55 3844 5
55 7134 4
55 20206 4
55 20424 4
55 28516 1
55 31619 2
55 38483 5
55 46131 4
56 1312 4
56 5924 2
56 21412 5
56 21713 2
56 21714 2
56 29049 4
56 30973 5
56 38938 2
56 39334 2
56 40277 1
56 48226 5
57 7998 5
57 10067 2
57 14094 2
57 14440 3
57 15225 4
57 19812 4
57 23438 1
57 31876 2
57 31978 2
57 40127 2
57 40706 5
58 7154 5
58 7909 4
58 8653 3
58 10042 4
58 10702 3
58 13386 1
58 14920 1
58 19378 1
58 23640 1
58 46409 2
58 47073 5
59 1118 4
59 3626 4
59 4600 4
59 5329 5
59 13918 1
59 21192 3
59 21577 4
59 22714 3
59 23152 3
59 24753 5
59 31559 2
59 33024 3
59 42303 1
59 43095 5
59 44289 5
59 46170 4
60 5284 5
60 5744 3
60 6291 5
60 9608 1
60 10928 4
60 16241 4
60 23805 4
60 25180 1
60 25387 4
60 33101 2
60 42129 4
60 42240 2
60 49580 2
61 5543 3
61 7340 1
61 8284 4
61 10300 5
61 10380 5
61 12101 3
61 12836 1
61 18773 2
61 26939 2
61 33473 5
61 38116 3
61 45847 5
62 300 2
62 9669 3
62 14211 2
62 14389 1
62 20004 1
62 20139 4
62 20740 1
62 26987 3
62 27441 1
62 27510 3
62 27766 1
62 28293 2
62 31800 1
62 38403 4
62 43746 4
62 45377 2
63 2157 2
63 13673 5
63 16569 3
63 17524 4
63 19307 1
63 19830 5
63 20351 3
63 26309 5
63 26871 5
63 32901 4
63 44855 1
63 47987 3
64 5972 2
64 13384 4
64 23500 3
64 23641 3
64 23733 3
64 24357 3
64 38630 3
64 42930 3
64 48336 3
64 48533 5
65 3541 2
65 10986 4
65 18676 5
65 22240 3
65 23099 3
65 28656 1
65 32024 3
65 44601 3
65 44749 1
66 648 4
66 6488 1
66 12277 4
66 13510 2
66 31474 2
66 42759 4
66 43758 1
66 46997 1
66 47872 5
67 4148 2
67 8348 2
67 10800 5
67 14101 1
67 27250 1
67 41508 3
68 1807 4
68 1989 5
68 3533 2
68 8119 3
68 10499 3
68 19574 4
68 23844 1
68 23916 1
68 29199 4
68 30160 3
68 33732 3
68 37421 3
68 39369 1
68 42965 2
68 46671 4
69 4200 1
69 8854 4
69 32328 4
69 38329 4
69 39023 5
69 43322 3
69 45546 3
70 1027 2
70 1834 3
70 5874 5
70 8237 4
70 11041 3
70 13180 4
70 20964 1
70 22835 5
70 25668 1
70 26090 1
70 26876 5
70 27826 5
70 30736 3
70 33813 1
70 35447 3
70 43923 5
70 48401 3
70 49325 2
71 1056 5
71 3129 3
71 3922 1
71 6440 4
71 7366 4
71 8518 4
71 18104 4
71 24343 4
71 28106 4
71 28652 5
71 29782 3
71 45003 4
71 46134 3
72 2092 2
72 10169 2
72 20041 2
72 23150 3
72 25162 5
72 30504 3
72 37373 3
72 41624 1
73 10979 1
73 16958 5
73 23520 5
73 24842 3
73 25387 2
73 26245 3
73 35543 3
73 36792 4
73 39570 1
73 48574 3
74 4770 3
74 8328 1
74 11607 4
74 18064 2
74 20986 4
74 28657 5
74 30447 5
74 32461 4
74 33447 1
74 47658 3
75 1120 1
75 4330 1
75 12544 1
75 19830 4
75 22461 4
75 29620 5
75 30158 3
75 34186 2
75 37111 4
75 42229 5
76 1032 4
76 5376 5
76 18858 1
76 19668 3
77 5865 2
77 12289 3
77 13667 5
77 15536 3
77 20805 2
77 20959 4
77 22378 4
77 25604 1
77 32214 4
77 32347 3
77 42212 1
78 5065 4
78 14041 1
78 17205 5
78 17629 2
78 22642 4
78 27202 3
78 28612 2
78 33465 2
78 35741 2
78 36000 4
78 38974 5
78 42421 5
78 43977 2
78 44022 3
78 44568 3
78 46351 4
78 48144 1
79 1837 3
79 10226 2
79 16712 2
79 16909 2
79 30584 5
79 30889 5
79 39932 5
79 41188 2
79 41221 3
79 43482 2
79 47915 3
79 49598 5
80 4430 5
80 5568 2
80 9618 1
80 11039 5
80 13552 5
80 15336 2
80 15981 2
80 22305 5
80 29053 2
80 38737 4
80 38893 5
80 42373 1
81 1956 5
81 2017 4
81 3739 5
81 5963 4
81 6627 2
81 9831 3
81 10410 4
81 16455 5
81 20364 2
81 26099 5
81 44512 1
82 528 1
82 3123 5
82 3740 1
82 6331 1
82 6932 4
82 13969 4
82 19193 3
82 25626 4
82 26624 2
82 28048 3
82 28942 4
82 30535 4
82 36231 5
82 41856 4
82 41988 4
82 43758 5
83 798 1
83 3954 4
83 9620 1
83 16198 2
83 19892 1
83 21060 2
83 23814 4
83 25662 4
83 30265 3
83 35236 4
84 1027 2
84 5245 1
84 5471 4
84 10433 4
84 13895 2
84 14135 2
84 14458 3
84 23364 3
84 27894 5
84 33800 3
84 34013 1
84 34487 3
84 35270 2
84 36760 3
84 37443 1
84 42124 2
84 42968 5
84 43627 5
84 46423 3
84 49163 4
85 2818 5
85 11947 3
85 17238 4
85 22380 1
85 25622 4
85 31908 4
85 40402 2
85 41351 5
85 42305 5
86 8734 2
86 9793 1
86 12910 3
86 14998 5
86 19491 4
86 26830 5
86 29366 1
86 31467 1
86 35432 1
86 36986 5
86 37749 3
86 42517 5
86 46099 2
86 47484 1
87 4857 5
87 6394 3
87 27311 5
87 27606 4
87 29873 1
87 35796 2
87 40051 5
87 46457 1
88 1344 4
88 7382 4
88 14276 4
88 15974 4
88 18684 5
88 23638 1
88 24662 2
88 37187 4
88 45849 5
89 1815 2
89 12586 2
89 17743 2
89 24213 1
89 26633 5
89 32766 3
89 37661 5
89 40831 2
89 40863 5
89 44275 3
89 45048 2
90 7453 5
90 15241 1
90 18697 2
90 22814 3
90 25815 3
90 26221 3
90 26991 4
90 27636 2
90 27814 5
90 30720 2
90 37575 2
90 39534 3
91 8007 2
91 10721 4
91 19877 2
91 21647 4
91 24193 4
91 26216 3
91 26608 5
91 28046 3
91 33225 2
91 39241 5
92 14748 2
92 18941 5
92 19907 2
92 22686 3
92 24975 5
92 30047 5
92 30431 4
92 33361 4
92 41097 2
92 42341 1
93 9233 2
93 9430 2
93 9654 5
93 16938 1
93 17085 3
93 20125 3
93 21121 5
93 23198 4
93 23833 5
93 25322 1
93 26106 4
93 38602 5
93 39820 5
93 43356 3
93 47432 4
93 49912 5
94 6171 2
94 10586 1
94 13940 1
94 16972 4
94 22540 5
94 23282 3
94 27983 5
94 29632 3
94 32791 5
94 33289 2
94 37473 5
94 47223 3
94 49470 2
95 7035 5
95 8046 4
95 8959 1
95 15916 2
95 23182 2
95 23839 1
95 25473 1
95 31772 2
95 33079 1
95 33081 5
95 35869 3
95 35989 2
95 36232 4
95 41960 1
96 1939 4
96 8125 3
96 13960 3
96 15411 2
96 17200 4
96 25109 5
96 28594 2
96 30579 1
96 34095 5
96 37812 2
96 38145 5
96 46224 4
97 5520 1
97 11708 1
97 21016 5
97 24351 3
97 26906 2
97 38364 3
97 39086 5
97 40873 4
97 41255 1
97 44497 4
97 49170 1
98 824 2
98 4814 4
98 11172 3
98 22901 4
98 26910 5
98 39882 5
98 43420 4
98 47187 4
98 48194 4
99 4601 4
99 6969 3
99 10878 1
99 16283 3
99 22970 1
99 34081 2
99 37185 3
99 41354 5
99 48875 3
100 3630 3
100 3748 1
100 6504 1
100 9125 5
100 9211 3
100 11466 4
100 11868 4
100 21481 4
100 22329 5
100 23299 4
100 30498 2
100 30712 4
100 31214 2
100 37365 1
100 39643 1
100 40752 5
100 49581 4
101 24502 1
101 31835 2
101 34310 5
101 36637 1
101 36855 3
102 3362 4
102 13302 5
102 16284 1
102 18664 1
102 20443 3
102 22367 1
102 28713 2
102 29548 2
102 38348 3
102 44834 2
102 46307 5
103 791 4
103 15674 1
103 18017 3
103 27935 2
104 5753 2
104 6121 3
104 9186 1
104 13798 1
104 22080 5
104 25843 3
104 27925 1
104 33869 3
104 36753 1
104 37185 5
104 37967 4
104 44103 3
104 47509 2
105 4794 2
105 7863 1
105 12100 5
105 14133 2
105 18257 4
105 19528 4
105 26761 4
105 27864 4
105 30727 5
105 31049 2
105 32659 1
105 33549 2
