8000 41948
1 978 18
1 1100 40
1 1450 191
1 1955 118
1 2322 107
1 2626 167
1 3601 120
1 3653 94
1 5184 184
1 6301 127
1 6822 163
1 7169 191
2 207 71
2 1099 67
2 2120 4
2 2433 141
2 2532 33
2 3403 59
2 3459 130
2 4215 89
3 50 155
3 260 142
3 1157 173
3 1298 54
3 1324 113
3 3851 16
3 3862 78
3 4122 51
3 6042 168
3 6993 61
3 7611 128
4 94 76
4 316 197
4 453 49
4 927 177
4 1218 171
4 1392 59
4 2032 174
4 3161 14
4 3756 111
4 3905 28
4 4644 154
4 5346 167
4 5585 135
4 5660 178
4 6173 2
4 7185 2
4 7405 49
4 7648 85
5 2389 125
5 3684 42
5 4946 35
5 6357 75
5 7117 41
5 7687 126
6 1074 17
6 1082 187
6 1130 146
6 4899 79
6 5876 22
6 5913 115
6 6337 74
6 6362 169
6 6431 131
6 7387 143
6 7627 72
7 455 73
7 511 110
7 900 159
7 3149 99
7 3154 77
7 3202 120
7 3315 55
8 186 140
8 394 183
8 820 94
8 962 187
8 2239 185
8 2945 73
9 1952 186
9 2009 97
9 2416 169
10 305 189
10 3747 44
10 4849 126
10 6454 145
10 6651 22
10 7108 16
11 194 9
11 246 40
11 2946 192
11 3331 37
11 3359 79
11 4005 176
11 4158 157
11 4267 200
11 4292 170
11 4511 114
11 4742 103
11 7176 66
12 149 41
12 2122 27
12 2434 183
12 2531 117
12 3798 141
12 4898 12
12 5738 181
12 5856 51
12 6161 115
12 7225 75
13 379 188
13 2600 192
13 3230 127
13 3359 198
13 5645 128
13 5734 55
13 7052 168
13 7344 37
13 7622 123
14 426 108
14 449 160
14 1498 81
14 3273 60
14 3833 84
14 4383 75
14 4527 117
14 4947 138
14 5321 141
14 5751 99
14 5884 106
15 760 187
15 882 11
15 2928 109
15 3095 189
15 4015 8
15 4812 69
15 5261 83
15 5435 183
15 6757 114
15 7011 58
16 1373 98
16 4522 95
16 4778 180
16 5270 200
16 5728 21
16 5828 87
16 6773 32
16 7727 48
16 7847 37
17 2175 173
17 2423 178
17 2683 136
17 2721 136
17 3847 14
17 4356 150
17 4652 193
17 5427 90
17 7666 50
17 7992 172
18 1168 20
18 1916 17
18 2585 84
18 2722 108
18 4866 39
18 6173 22
18 6537 50
18 6880 158
19 546 178
19 942 142
19 2067 105
19 2603 86
19 2991 24
19 3256 61
19 5258 142
19 7413 152
20 2250 189
20 2676 23
20 2827 57
20 3033 109
20 5208 103
20 7072 115
20 7888 186
21 657 147
21 2569 166
21 2682 192
21 3049 135
21 3225 45
21 3272 147
21 3885 117
21 5113 192
21 6548 104
21 7072 198
22 584 83
22 1289 55
22 5361 49
22 6055 195
22 6448 176
23 166 157
23 949 183
