50000 281591
1 9101 3
1 14050 4
1 20423 3
1 22241 5
1 27609 5
1 35443 5
1 36925 1
1 45658 4
1 47417 3
1 49886 5
2 774 4
2 1260 3
2 1499 2
2 10944 3
2 18647 3
2 22675 3
2 35727 1
2 37525 5
2 38882 2
2 40089 3
2 41645 5
2 42452 5
2 45894 2
2 46450 2
2 48226 1
3 2076 3
3 4404 2
3 5912 2
3 6408 4
3 18623 1
3 19209 5
3 19306 1
3 25658 1
3 26116 4
3 26156 5
3 27797 3
3 28356 4
3 35297 1
3 38987 4
3 40142 4
3 44078 1
4 6388 5
4 8045 2
4 10508 3
4 12151 3
4 31230 1
4 31515 1
4 33578 3
4 36260 5
4 41684 4
4 48137 1
4 48622 1
5 1067 1
5 5089 1
5 11862 5
5 13240 5
5 16789 3
5 26631 3
5 28265 4
5 34104 2
5 48374 2
6 5231 2
6 5524 4
6 13336 5
6 15680 5
6 17049 4
6 19030 2
6 19061 4
6 24601 4
6 26995 5
6 31736 3
6 41259 3
7 6718 2
7 6756 5
7 8244 3
7 10421 1
7 12717 4
7 13309 5
7 18432 5
7 19821 5
7 20684 4
7 24936 1
7 31017 1
7 34861 4
7 39600 1
7 42624 2
7 43633 3
7 47001 2
8 6105 5
8 8136 3
8 14408 4
8 23950 3
8 24697 2
8 32807 2
8 48851 1
8 49245 1
9 5824 3
9 6733 4
9 11630 4
9 13043 1
9 13623 5
9 16073 1
9 18837 5
9 21727 3
9 28774 5
9 39064 1
9 47044 5
9 47629 4
10 9287 2
10 10067 5
10 25474 2
10 26399 2
10 33522 1
11 10304 4
11 14123 5
11 22717 2
11 23784 1
11 27813 5
11 29572 1
11 30225 3
11 30958 2
11 33243 4
11 33595 2
11 38080 2
12 6239 2
12 6347 1
12 9216 2
12 13285 4
12 16011 3
12 17278 2
12 18808 4
12 20048 2
12 32196 3
12 33706 3
12 49121 5
12 49752 2
13 3099 3
13 3436 4
13 5234 5
13 6337 1
13 7647 4
13 8263 2
13 19686 5
13 23533 1
13 29189 3
13 31173 2
13 40341 5
13 43341 3
13 48692 2
14 4002 3
14 6785 4
14 8728 1
14 11481 1
14 14393 4
14 15842 3
14 19042 1
14 34260 1
14 37178 5
14 40678 2
14 49506 2
15 35 1
15 6244 5
15 6533 2
15 7993 1
15 16763 3
15 23456 2
15 23584 1
15 23617 3
15 24041 2
15 25761 1
15 28232 4
15 30418 3
15 38616 1
15 43782 2
15 44423 4
15 44691 2
15 45173 4
16 61 2
16 4751 4
16 34605 5
16 47367 5
17 8115 3
17 8282 1
17 8511 5
17 9967 4
17 11507 1
17 15805 1
17 18053 4
17 18271 1
17 23374 1
17 25334 5
17 28229 5
17 28390 2
17 30987 5
17 35201 3
17 45880 2
17 47599 5
18 7197 4
18 13781 2
18 18969 3
18 21371 1
18 24286 2
18 28240 5
18 30777 5
18 33027 5
18 35712 5
18 36431 2
18 36550 2
18 36597 4
19 3189 4
19 7083 3
19 10674 3
19 10812 2
19 13432 3
19 14491 4
19 16307 3
19 22621 5
19 26636 5
19 27959 2
19 30661 5
19 33185 3
19 39142 5
19 45036 3
20 374 3
20 1526 5
20 3425 5
20 4834 1
20 6600 5
20 10393 3
20 13623 1
20 19732 5
20 20256 2
20 26355 3
20 28072 4
20 35955 4
20 45440 2
21 12686 4
21 15516 1
21 15886 1
21 23670 1
21 25725 2
21 30799 2
21 32831 5
21 37007 3
21 45815 4
21 48588 4
21 48907 5
21 48939 3
22 2261 2
22 8307 4
22 14372 5
22 17518 2
22 21072 2
22 21549 2
22 29181 2
22 30049 3
22 30542 4
22 31074 5
22 37324 2
23 2940 4
23 6513 2
23 9490 5
23 13290 1
23 22565 3
23 33440 1
23 36859 3
23 42525 2
24 8294 3
24 13175 3
24 22161 3
24 24149 3
24 27631 2
24 30942 5
24 32049 2
24 35565 4
24 36778 3
24 41256 3
25 786 4
25 1570 1
25 4578 3
25 11914 3
25 16123 3
25 21932 3
25 24905 1
25 25726 2
25 28743 2
25 45731 4
25 46940 3
25 49893 1
26 2744 2
26 7312 4
26 12121 5
26 22648 5
26 37493 4
26 38909 3
27 988 4
27 1966 3
27 7775 1
27 9000 3
27 9383 2
27 13278 4
27 17543 5
27 20533 4
27 26299 4
27 27725 2
27 31429 4
27 43766 5
27 45472 3
27 45882 1
28 1570 4
28 1974 2
28 11719 1
28 12864 4
28 13658 5
28 17247 2
28 17698 2
28 21462 4
28 36141 1
28 37370 3
28 45810 2
28 49998 1
29 231 2
29 13905 4
29 14437 1
29 18023 4
29 18938 3
29 22135 1
29 27953 1
29 30149 1
29 31226 1
29 32506 4
29 32911 4
29 37905 5
